is_current,status_event_id,status_time,source_system,status,account_id,trace_id
N,evt_c79bbdad-b63c-fd4d-8eb0-f699038a4d51_001,2026-03-10T12:39:00+08:00,core_banking,open,c79bbdad-b63c-fd4d-8eb0-f699038a4d51,audit_c79bbdad-b63c-fd4d-8eb0-f699038a4d51_001
N,evt_c79bbdad-b63c-fd4d-8eb0-f699038a4d51_002,2026-03-10T12:40:00+08:00,core_banking,pending,c79bbdad-b63c-fd4d-8eb0-f699038a4d51,audit_c79bbdad-b63c-fd4d-8eb0-f699038a4d51_002
Y,evt_c79bbdad-b63c-fd4d-8eb0-f699038a4d51_003,2026-03-10T12:41:00+08:00,core_banking,active,c79bbdad-b63c-fd4d-8eb0-f699038a4d51,audit_c79bbdad-b63c-fd4d-8eb0-f699038a4d51_003
N,evt_599726f7-640f-b366-e9d4-de5d2eaa6dc5_001,2026-02-06T15:05:00+08:00,core_banking,open,599726f7-640f-b366-e9d4-de5d2eaa6dc5,audit_599726f7-640f-b366-e9d4-de5d2eaa6dc5_001
N,evt_599726f7-640f-b366-e9d4-de5d2eaa6dc5_002,2026-02-06T15:06:00+08:00,core_banking,pending,599726f7-640f-b366-e9d4-de5d2eaa6dc5,audit_599726f7-640f-b366-e9d4-de5d2eaa6dc5_002
Y,evt_599726f7-640f-b366-e9d4-de5d2eaa6dc5_003,2026-02-06T15:07:00+08:00,core_banking,active,599726f7-640f-b366-e9d4-de5d2eaa6dc5,audit_599726f7-640f-b366-e9d4-de5d2eaa6dc5_003
N,evt_d61043fa-a86a-6359-b100-11680b97b669_001,2026-03-23T12:40:00+08:00,deposit_gateway,open,d61043fa-a86a-6359-b100-11680b97b669,audit_d61043fa-a86a-6359-b100-11680b97b669_001
N,evt_d61043fa-a86a-6359-b100-11680b97b669_002,2026-03-23T12:41:00+08:00,deposit_gateway,pending,d61043fa-a86a-6359-b100-11680b97b669,audit_d61043fa-a86a-6359-b100-11680b97b669_002
N,evt_d61043fa-a86a-6359-b100-11680b97b669_003,2026-03-23T12:42:00+08:00,deposit_gateway,active,d61043fa-a86a-6359-b100-11680b97b669,audit_d61043fa-a86a-6359-b100-11680b97b669_003
Y,evt_d61043fa-a86a-6359-b100-11680b97b669_004,2026-03-23T12:43:00+08:00,deposit_gateway,frozen,d61043fa-a86a-6359-b100-11680b97b669,audit_d61043fa-a86a-6359-b100-11680b97b669_004
N,evt_9c4b06d4-3265-1d6f-50c6-1e92f5a9be0d_001,2026-03-20T18:15:00+08:00,core_banking,open,9c4b06d4-3265-1d6f-50c6-1e92f5a9be0d,audit_9c4b06d4-3265-1d6f-50c6-1e92f5a9be0d_001
Y,evt_9c4b06d4-3265-1d6f-50c6-1e92f5a9be0d_002,2026-03-20T18:16:00+08:00,core_banking,pending,9c4b06d4-3265-1d6f-50c6-1e92f5a9be0d,audit_9c4b06d4-3265-1d6f-50c6-1e92f5a9be0d_002
N,evt_1102c258-9e2a-8d13-97e6-31596788f569_001,2026-01-22T14:49:00+08:00,core_banking,open,1102c258-9e2a-8d13-97e6-31596788f569,audit_1102c258-9e2a-8d13-97e6-31596788f569_001
Y,evt_1102c258-9e2a-8d13-97e6-31596788f569_002,2026-01-22T14:50:00+08:00,core_banking,pending,1102c258-9e2a-8d13-97e6-31596788f569,audit_1102c258-9e2a-8d13-97e6-31596788f569_002
Y,evt_ab4be22c-6505-79e0-1ed5-f67ef9d63fcb_001,2026-03-19T13:26:00+08:00,core_banking,open,ab4be22c-6505-79e0-1ed5-f67ef9d63fcb,audit_ab4be22c-6505-79e0-1ed5-f67ef9d63fcb_001
N,evt_900f2fa5-65fd-3b8e-1b68-27052fbacc32_001,2026-03-26T10:37:00+08:00,core_banking,open,900f2fa5-65fd-3b8e-1b68-27052fbacc32,audit_900f2fa5-65fd-3b8e-1b68-27052fbacc32_001
N,evt_900f2fa5-65fd-3b8e-1b68-27052fbacc32_002,2026-03-26T10:38:00+08:00,core_banking,pending,900f2fa5-65fd-3b8e-1b68-27052fbacc32,audit_900f2fa5-65fd-3b8e-1b68-27052fbacc32_002
Y,evt_900f2fa5-65fd-3b8e-1b68-27052fbacc32_003,2026-03-26T10:39:00+08:00,core_banking,active,900f2fa5-65fd-3b8e-1b68-27052fbacc32,audit_900f2fa5-65fd-3b8e-1b68-27052fbacc32_003
Y,evt_a177af13-4e91-2702-d68e-30634a61fc83_001,2026-02-14T14:45:00+08:00,core_banking,open,a177af13-4e91-2702-d68e-30634a61fc83,audit_a177af13-4e91-2702-d68e-30634a61fc83_001
N,evt_05c9547b-056f-397c-4a7f-91e555adc88e_001,2026-02-03T09:42:00+08:00,core_banking,open,05c9547b-056f-397c-4a7f-91e555adc88e,audit_05c9547b-056f-397c-4a7f-91e555adc88e_001
N,evt_05c9547b-056f-397c-4a7f-91e555adc88e_002,2026-02-03T09:43:00+08:00,core_banking,pending,05c9547b-056f-397c-4a7f-91e555adc88e,audit_05c9547b-056f-397c-4a7f-91e555adc88e_002
Y,evt_05c9547b-056f-397c-4a7f-91e555adc88e_003,2026-02-03T09:44:00+08:00,core_banking,active,05c9547b-056f-397c-4a7f-91e555adc88e,audit_05c9547b-056f-397c-4a7f-91e555adc88e_003
N,evt_995dd2c5-784b-2103-7c39-6f7f8ab913f5_001,2026-03-08T10:56:00+08:00,core_banking,open,995dd2c5-784b-2103-7c39-6f7f8ab913f5,audit_995dd2c5-784b-2103-7c39-6f7f8ab913f5_001
N,evt_995dd2c5-784b-2103-7c39-6f7f8ab913f5_002,2026-03-08T10:57:00+08:00,core_banking,pending,995dd2c5-784b-2103-7c39-6f7f8ab913f5,audit_995dd2c5-784b-2103-7c39-6f7f8ab913f5_002
Y,evt_995dd2c5-784b-2103-7c39-6f7f8ab913f5_003,2026-03-08T10:58:00+08:00,core_banking,active,995dd2c5-784b-2103-7c39-6f7f8ab913f5,audit_995dd2c5-784b-2103-7c39-6f7f8ab913f5_003
N,evt_2b920e0f-1da3-f08e-3fbb-760a622d3a01_001,2026-04-26T17:21:00+08:00,crm_status_bus,open,2b920e0f-1da3-f08e-3fbb-760a622d3a01,audit_2b920e0f-1da3-f08e-3fbb-760a622d3a01_001
N,evt_2b920e0f-1da3-f08e-3fbb-760a622d3a01_002,2026-04-26T17:22:00+08:00,crm_status_bus,pending,2b920e0f-1da3-f08e-3fbb-760a622d3a01,audit_2b920e0f-1da3-f08e-3fbb-760a622d3a01_002
Y,evt_2b920e0f-1da3-f08e-3fbb-760a622d3a01_003,2026-04-26T17:23:00+08:00,crm_status_bus,active,2b920e0f-1da3-f08e-3fbb-760a622d3a01,audit_2b920e0f-1da3-f08e-3fbb-760a622d3a01_003
N,evt_b2064b8e-c7c7-b38f-c44b-8a3313eb84a9_001,2026-01-26T14:11:00+08:00,core_banking,open,b2064b8e-c7c7-b38f-c44b-8a3313eb84a9,audit_b2064b8e-c7c7-b38f-c44b-8a3313eb84a9_001
N,evt_b2064b8e-c7c7-b38f-c44b-8a3313eb84a9_002,2026-01-26T14:12:00+08:00,core_banking,pending,b2064b8e-c7c7-b38f-c44b-8a3313eb84a9,audit_b2064b8e-c7c7-b38f-c44b-8a3313eb84a9_002
Y,evt_b2064b8e-c7c7-b38f-c44b-8a3313eb84a9_003,2026-01-26T14:13:00+08:00,core_banking,active,b2064b8e-c7c7-b38f-c44b-8a3313eb84a9,audit_b2064b8e-c7c7-b38f-c44b-8a3313eb84a9_003
N,evt_a23d2189-39f9-680e-2362-da32bf502b39_001,2026-04-29T15:17:00+08:00,core_banking,open,a23d2189-39f9-680e-2362-da32bf502b39,audit_a23d2189-39f9-680e-2362-da32bf502b39_001
N,evt_a23d2189-39f9-680e-2362-da32bf502b39_002,2026-04-29T15:18:00+08:00,core_banking,pending,a23d2189-39f9-680e-2362-da32bf502b39,audit_a23d2189-39f9-680e-2362-da32bf502b39_002
Y,evt_a23d2189-39f9-680e-2362-da32bf502b39_003,2026-04-29T15:19:00+08:00,core_banking,active,a23d2189-39f9-680e-2362-da32bf502b39,audit_a23d2189-39f9-680e-2362-da32bf502b39_003
N,evt_b244f795-3420-3ceb-998e-a0f6f8846777_001,2026-04-03T18:09:00+08:00,core_banking,open,b244f795-3420-3ceb-998e-a0f6f8846777,audit_b244f795-3420-3ceb-998e-a0f6f8846777_001
N,evt_b244f795-3420-3ceb-998e-a0f6f8846777_002,2026-04-03T18:10:00+08:00,core_banking,pending,b244f795-3420-3ceb-998e-a0f6f8846777,audit_b244f795-3420-3ceb-998e-a0f6f8846777_002
Y,evt_b244f795-3420-3ceb-998e-a0f6f8846777_003,2026-04-03T18:11:00+08:00,core_banking,active,b244f795-3420-3ceb-998e-a0f6f8846777,audit_b244f795-3420-3ceb-998e-a0f6f8846777_003
N,evt_1086bf0e-91e9-9cf8-3989-f3cf9f020917_001,2026-03-15T17:24:00+08:00,core_banking,open,1086bf0e-91e9-9cf8-3989-f3cf9f020917,audit_1086bf0e-91e9-9cf8-3989-f3cf9f020917_001
Y,evt_1086bf0e-91e9-9cf8-3989-f3cf9f020917_002,2026-03-15T17:25:00+08:00,core_banking,pending,1086bf0e-91e9-9cf8-3989-f3cf9f020917,audit_1086bf0e-91e9-9cf8-3989-f3cf9f020917_002
N,evt_7e174bc2-5cd2-8b62-2f86-1f919b73bfad_001,2026-03-24T18:17:00+08:00,core_banking,open,7e174bc2-5cd2-8b62-2f86-1f919b73bfad,audit_7e174bc2-5cd2-8b62-2f86-1f919b73bfad_001
N,evt_7e174bc2-5cd2-8b62-2f86-1f919b73bfad_002,2026-03-24T18:18:00+08:00,core_banking,pending,7e174bc2-5cd2-8b62-2f86-1f919b73bfad,audit_7e174bc2-5cd2-8b62-2f86-1f919b73bfad_002
Y,evt_7e174bc2-5cd2-8b62-2f86-1f919b73bfad_003,2026-03-24T18:19:00+08:00,core_banking,active,7e174bc2-5cd2-8b62-2f86-1f919b73bfad,audit_7e174bc2-5cd2-8b62-2f86-1f919b73bfad_003
N,evt_9c63127d-8d2c-19eb-c323-b7513dc23c41_001,2026-02-26T17:11:00+08:00,core_banking,open,9c63127d-8d2c-19eb-c323-b7513dc23c41,audit_9c63127d-8d2c-19eb-c323-b7513dc23c41_001
N,evt_9c63127d-8d2c-19eb-c323-b7513dc23c41_002,2026-02-26T17:12:00+08:00,core_banking,pending,9c63127d-8d2c-19eb-c323-b7513dc23c41,audit_9c63127d-8d2c-19eb-c323-b7513dc23c41_002
Y,evt_9c63127d-8d2c-19eb-c323-b7513dc23c41_003,2026-02-26T17:13:00+08:00,core_banking,active,9c63127d-8d2c-19eb-c323-b7513dc23c41,audit_9c63127d-8d2c-19eb-c323-b7513dc23c41_003
N,evt_d1e054e0-c373-bcc8-17d7-c3efd4e602ae_001,2026-03-31T09:15:00+08:00,core_banking,open,d1e054e0-c373-bcc8-17d7-c3efd4e602ae,audit_d1e054e0-c373-bcc8-17d7-c3efd4e602ae_001
N,evt_d1e054e0-c373-bcc8-17d7-c3efd4e602ae_002,2026-03-31T09:16:00+08:00,core_banking,pending,d1e054e0-c373-bcc8-17d7-c3efd4e602ae,audit_d1e054e0-c373-bcc8-17d7-c3efd4e602ae_002
Y,evt_d1e054e0-c373-bcc8-17d7-c3efd4e602ae_003,2026-03-31T09:17:00+08:00,core_banking,active,d1e054e0-c373-bcc8-17d7-c3efd4e602ae,audit_d1e054e0-c373-bcc8-17d7-c3efd4e602ae_003
N,evt_39ee1691-d4b7-a836-5c47-f440c775f7a8_001,2026-04-06T15:47:00+08:00,core_banking,open,39ee1691-d4b7-a836-5c47-f440c775f7a8,audit_39ee1691-d4b7-a836-5c47-f440c775f7a8_001
N,evt_39ee1691-d4b7-a836-5c47-f440c775f7a8_002,2026-04-06T15:48:00+08:00,core_banking,pending,39ee1691-d4b7-a836-5c47-f440c775f7a8,audit_39ee1691-d4b7-a836-5c47-f440c775f7a8_002
Y,evt_39ee1691-d4b7-a836-5c47-f440c775f7a8_003,2026-04-06T15:49:00+08:00,core_banking,active,39ee1691-d4b7-a836-5c47-f440c775f7a8,audit_39ee1691-d4b7-a836-5c47-f440c775f7a8_003
N,evt_290f32be-eefb-9c70-39eb-e818a8dc263b_001,2026-01-24T14:05:00+08:00,deposit_gateway,open,290f32be-eefb-9c70-39eb-e818a8dc263b,audit_290f32be-eefb-9c70-39eb-e818a8dc263b_001
Y,evt_290f32be-eefb-9c70-39eb-e818a8dc263b_002,2026-01-24T14:06:00+08:00,deposit_gateway,pending,290f32be-eefb-9c70-39eb-e818a8dc263b,audit_290f32be-eefb-9c70-39eb-e818a8dc263b_002
